id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
18737,Thompson,tube,10.34,7866.0,-0.1437,10.3,10.3,762.0,4.9
18738,Janssen,annulus,,762.0,0.0403,12.7,,737.0,3.1
18739,Thompson,tube,13.79,5249.0,,,5.7,,3.2
18740,Thompson,tube,,7364.0,-0.0379,,,318.0,5.1
18741,Janssen,annulus,9.71,,,12.7,42.3,1778.0,3.9
18742,Thompson,,13.79,,-0.2653,4.7,4.7,318.0,6.0
18743,Thompson,tube,,2034.0,-0.0296,,1.9,152.0,3.7
18744,Thompson,,,,,10.3,10.3,762.0,7.8
18745,Weatherhead,tube,13.79,350.0,,11.1,11.1,457.0,4.5
18746,Weatherhead,tube,,681.0,0.0184,,11.1,,2.3
18747,Thompson,tube,13.79,6144.0,0.0001,4.7,4.7,318.0,13.3
18748,Thompson,tube,13.79,4299.0,-0.082,4.7,4.7,,5.5
18749,Janssen,annulus,8.27,1519.0,,12.7,42.3,1778.0,4.5
18750,,tube,6.83,4054.0,0.0545,10.8,10.8,864.0,3.8
18751,Thompson,,13.79,3452.0,0.0375,4.7,4.7,318.0,2.9
18752,,annulus,13.79,2292.0,0.0479,12.7,42.3,1778.0,2.6
18753,Beus,annulus,13.79,3678.0,-0.0279,5.6,15.2,2134.0,3.9
18754,Thompson,tube,10.34,,-0.1179,10.3,10.3,762.0,6.4
18755,Thompson,tube,15.51,2184.0,,1.9,1.9,152.0,2.1
18756,,,,1899.0,-0.1253,,11.1,457.0,10.6
18757,Thompson,tube,,1316.0,,4.7,4.7,318.0,4.6
18758,Thompson,tube,7.03,,0.1575,10.8,10.8,216.0,3.9
18759,Thompson,,6.89,1912.0,-0.0264,37.5,37.5,1953.0,6.9
18760,Thompson,tube,10.51,2631.0,-0.0881,4.6,4.6,229.0,3.6
18761,Weatherhead,,,1980.0,,7.7,7.7,457.0,2.3
18762,Peskov,tube,14.0,4986.0,0.0103,10.0,10.0,890.0,4.1
18763,Williams,tube,15.17,2722.0,,,9.5,1836.0,14.7
18764,Thompson,tube,6.89,7500.0,,23.6,,1972.0,2.7
18765,Richenderfer,plate,1.01,1500.0,0.0047,15.0,120.0,10.0,3.3
18766,Williams,tube,15.17,2679.0,0.0515,9.5,9.5,1836.0,3.9
18767,Thompson,tube,3.45,,-0.0518,5.7,5.7,625.0,7.1
18768,Thompson,tube,,7893.0,,10.3,10.3,762.0,4.9
18769,Weatherhead,tube,13.79,2645.0,,7.7,7.7,457.0,1.4
18770,Thompson,tube,13.79,1695.0,0.1274,4.7,4.7,318.0,2.6
18771,Thompson,tube,6.89,5696.0,,10.3,10.3,762.0,4.6
18772,Beus,annulus,15.51,2710.0,0.1232,5.6,15.2,2134.0,5.0
18773,Thompson,tube,6.89,5371.0,-0.0369,,10.3,,3.8
18774,Beus,annulus,,,,5.6,15.2,2134.0,2.1
18775,Thompson,tube,6.96,4123.0,0.0618,5.6,5.6,432.0,3.0
18776,Thompson,tube,17.24,2848.0,-0.0407,,1.9,152.0,9.3
18777,,tube,11.03,3391.0,0.099,,11.5,1143.0,3.0
18778,Thompson,tube,,3513.0,0.0033,10.8,10.8,432.0,4.5
18779,,tube,13.79,,0.0496,4.7,4.7,,3.3
18780,Thompson,tube,13.79,1465.0,,7.7,7.7,457.0,1.8
18781,Thompson,tube,6.89,3811.0,,10.3,10.3,762.0,5.7
18782,Janssen,annulus,9.65,5615.0,0.0033,6.4,15.9,914.0,3.5
18783,Thompson,tube,12.07,2835.0,-0.0305,,,152.0,3.4
18784,Thompson,tube,6.86,1031.0,0.0145,10.8,10.8,432.0,4.0
18785,Janssen,annulus,6.89,2319.0,,12.7,38.1,914.0,2.5
18786,Thompson,tube,3.9,2034.0,0.1671,10.8,10.8,432.0,5.8
18787,Weatherhead,tube,13.79,2048.0,0.0243,11.1,11.1,457.0,1.6
18788,Peskov,tube,,1777.0,,10.0,10.0,1650.0,2.0
18789,Thompson,tube,,1063.0,0.1453,4.7,4.7,318.0,2.0
18790,Thompson,tube,13.79,2753.0,-0.0466,4.7,4.7,318.0,8.1
18791,Thompson,tube,13.79,1302.0,-0.0846,,7.7,457.0,2.7
18792,,tube,13.79,4448.0,0.0649,4.7,4.7,,1.8
18793,Peskov,tube,12.0,1668.0,-0.0329,10.0,10.0,1650.0,2.8
18794,Thompson,,13.79,,,4.7,4.7,318.0,2.8
18795,,tube,13.79,3784.0,,1.9,,696.0,2.6
18796,Thompson,tube,15.51,2007.0,-0.0252,1.9,,152.0,1.5
18797,Beus,,15.51,3677.0,0.0912,,15.2,2134.0,1.1
18798,Beus,annulus,,1355.0,0.1219,,15.2,2134.0,1.1
18799,Richenderfer,tube,0.1,1500.0,,15.0,120.0,10.0,5.3
18800,Thompson,,13.79,3906.0,0.0773,4.6,4.6,,2.3
18801,Thompson,,13.79,,,,4.7,318.0,3.0
18802,Beus,annulus,13.79,671.0,,5.6,,2134.0,2.1
18803,Thompson,,6.89,6551.0,-0.0264,10.3,10.3,794.0,5.4
18804,Thompson,tube,11.03,3933.0,0.1086,11.5,11.5,,2.8
18805,,tube,10.0,2200.0,-0.0868,10.0,10.0,660.0,8.2
18806,,,13.79,1272.0,0.0135,7.8,7.8,591.0,2.0
18807,Williams,tube,,2672.0,0.1565,9.5,9.5,1836.0,2.2
18808,Thompson,tube,15.51,2184.0,0.0902,,1.9,696.0,2.0
18809,Weatherhead,tube,,936.0,,11.1,11.1,457.0,1.8
18810,Beus,annulus,13.79,1345.0,0.1848,5.6,15.2,2134.0,1.5
18811,,tube,6.89,833.0,0.0733,7.8,7.8,,2.3
18812,Thompson,tube,15.51,2238.0,-0.1142,,1.9,696.0,2.8
18813,,tube,6.89,7893.0,,10.3,,,7.6
18814,Thompson,tube,6.89,,,37.5,37.5,1953.0,2.0
18815,Janssen,annulus,,,,12.7,38.1,914.0,3.2
18816,Janssen,annulus,6.89,1519.0,,,,1778.0,2.1
18817,Janssen,annulus,,1519.0,0.0667,,42.3,1778.0,3.4
18818,,annulus,6.92,2767.0,0.0609,12.7,38.1,914.0,3.2
18819,Beus,annulus,11.03,1364.0,,5.6,15.2,2134.0,3.2
18820,Thompson,tube,8.93,,,,37.5,1953.0,2.4
18821,Thompson,tube,6.76,4082.0,0.19,10.8,,864.0,2.9
18822,Thompson,tube,6.89,5479.0,-0.0534,23.6,23.6,1972.0,5.3
18823,Richenderfer,plate,0.1,336.0,-0.0187,15.0,120.0,10.0,2.6
18824,Thompson,tube,7.0,4062.0,,,10.8,864.0,4.2
18825,Weatherhead,,13.79,1370.0,-0.1702,7.7,7.7,,4.3
18826,Peskov,tube,14.0,3861.0,,10.0,10.0,660.0,3.2
18827,Thompson,tube,,3933.0,-0.0659,1.9,1.9,,3.9
18828,Thompson,tube,13.79,,,4.6,4.6,295.0,2.5
18829,Thompson,tube,,2116.0,0.0864,7.8,7.8,591.0,2.3
18830,,annulus,4.16,2292.0,0.0896,12.7,42.3,1778.0,3.3
18831,Thompson,tube,13.79,2075.0,0.0496,4.7,4.7,305.0,2.5
18832,Thompson,,13.79,1668.0,0.0249,7.7,7.7,457.0,1.6
18833,Thompson,tube,6.96,4096.0,,,10.8,864.0,3.2
18834,Thompson,tube,,1383.0,-0.2585,7.7,7.7,457.0,4.0
18835,Thompson,tube,6.89,,,23.6,23.6,1972.0,2.8
18836,Janssen,annulus,6.92,5533.0,,12.7,38.1,,5.2
18837,Thompson,,10.34,3947.0,-0.1253,10.3,10.3,762.0,4.7
18838,Thompson,tube,13.79,2143.0,0.0279,7.8,7.8,591.0,2.2
18839,Thompson,tube,,1614.0,,7.7,7.7,457.0,3.1
18840,,tube,13.79,,,4.6,4.6,295.0,1.8
18841,Thompson,tube,7.03,3852.0,0.1859,,,,4.9
18842,Thompson,tube,10.34,7731.0,-0.0997,10.3,,762.0,3.4
18843,,tube,,4136.0,,5.6,5.6,432.0,4.2
18844,Thompson,tube,6.93,4062.0,,10.8,10.8,1727.0,4.2
18845,Thompson,tube,13.79,1356.0,-0.2001,4.7,4.7,318.0,4.3
18846,Thompson,tube,6.89,4069.0,0.0334,10.8,10.8,,4.4
18847,Thompson,tube,,704.0,0.0334,,23.6,610.0,2.7
18848,,annulus,6.94,2807.0,,6.4,15.9,914.0,3.8
18849,Thompson,tube,6.89,4828.0,-0.4486,,4.7,318.0,5.8
18850,Thompson,tube,0.1,2848.0,,3.0,3.0,150.0,5.9
18851,Thompson,,10.34,2034.0,-0.0991,,10.3,762.0,4.7
18852,Thompson,,13.79,5967.0,,4.7,4.7,318.0,4.5
18853,Janssen,annulus,,1533.0,,12.7,42.3,2743.0,5.1
18854,,tube,,4069.0,-0.0309,7.8,7.8,591.0,10.8
18855,Janssen,annulus,6.89,7093.0,,12.7,,737.0,2.5
18856,Thompson,tube,11.0,2034.0,0.0613,11.5,11.5,914.0,2.0
18857,Thompson,tube,13.79,3852.0,0.0001,1.9,1.9,,1.5
18858,Thompson,tube,6.93,,0.0916,5.6,5.6,432.0,3.2
18859,Thompson,,3.45,3933.0,-0.0653,10.3,10.3,,4.4
18860,Thompson,tube,6.89,5479.0,0.0404,23.6,23.6,1972.0,2.7
18861,Thompson,tube,7.0,,,5.6,5.6,432.0,4.2
18862,Thompson,tube,6.86,4056.0,-0.0105,10.8,10.8,864.0,3.9
18863,,tube,13.79,1655.0,0.0884,7.7,7.7,457.0,1.3
18864,Peskov,tube,,3056.0,0.0103,10.0,,,4.1
18865,Weatherhead,tube,13.79,734.0,,7.7,7.7,457.0,2.1
18866,Williams,tube,15.17,1351.0,0.1505,9.5,9.5,1836.0,1.2
18867,Thompson,tube,,1899.0,0.0231,7.8,7.8,591.0,2.6
18868,Thompson,tube,6.89,,-0.0029,10.3,10.3,762.0,4.7
18869,Richenderfer,plate,1.01,1000.0,-0.0297,15.0,120.0,10.0,4.9
18870,Thompson,tube,13.79,7093.0,-0.1438,3.6,3.6,76.0,3.4
18871,Thompson,,13.79,5249.0,-0.0254,,4.7,,4.1
18872,Thompson,tube,10.51,,0.2073,4.6,4.6,229.0,2.6
18873,Thompson,tube,6.89,3811.0,0.0491,10.3,10.3,762.0,5.4
18874,Thompson,,6.89,2699.0,0.1538,23.6,,610.0,2.6
18875,Beus,annulus,13.79,2730.0,,5.6,15.2,2134.0,2.2
18876,Janssen,annulus,8.27,1519.0,,12.7,42.3,1778.0,2.8
18877,Thompson,tube,13.79,3933.0,0.0823,,,295.0,4.0
18878,Thompson,tube,0.1,5642.0,-0.0434,10.8,10.8,38.0,9.0
18879,Richenderfer,plate,1.01,1000.0,,15.0,120.0,10.0,7.7
18880,Peskov,tube,18.0,750.0,-0.03,10.0,10.0,1650.0,2.0
18881,,tube,13.79,1356.0,,4.7,4.7,318.0,3.6
18882,Thompson,tube,13.79,5262.0,,5.7,5.7,625.0,4.5
18883,Beus,annulus,15.51,1355.0,0.0537,5.6,15.2,2134.0,2.1
18884,Thompson,tube,3.9,,-0.0668,10.8,10.8,432.0,5.5
18885,Thompson,,10.34,3947.0,,10.3,10.3,762.0,2.3
18886,,,6.79,3838.0,-0.0138,10.8,10.8,432.0,4.4
18887,,,6.83,4071.0,-0.0492,10.8,10.8,,5.2
18888,Thompson,tube,6.86,4014.0,,10.8,10.8,216.0,5.7
18889,Thompson,tube,13.79,5262.0,0.0805,4.7,4.7,318.0,2.6
18890,Thompson,tube,17.24,2007.0,,1.9,1.9,152.0,4.7
18891,Janssen,annulus,9.68,1356.0,,12.7,42.3,,4.3
18892,,tube,,6049.0,-0.0708,10.3,10.3,762.0,6.0
18893,Weatherhead,,13.79,346.0,0.0088,11.1,11.1,457.0,2.0
18894,Thompson,tube,13.79,1777.0,-0.0874,1.9,,696.0,3.7
18895,,tube,13.79,1899.0,,,4.7,318.0,3.9
18896,Weatherhead,,13.79,1356.0,-0.094,7.7,7.7,457.0,15.6
18897,,tube,13.79,677.0,,7.8,7.8,591.0,2.4
18898,Thompson,tube,,5859.0,,10.3,10.3,794.0,7.3
18899,Thompson,tube,6.89,2034.0,,10.8,10.8,216.0,1.8
18900,Janssen,annulus,6.89,3038.0,,8.5,,2743.0,6.3
18901,Thompson,tube,7.0,3458.0,0.0763,,10.8,864.0,2.7
18902,,tube,13.79,,-0.0518,1.9,1.9,152.0,6.0
18903,Thompson,tube,13.79,5588.0,0.1113,,5.7,625.0,2.8
18904,Thompson,tube,6.89,4055.0,0.0015,10.3,10.3,762.0,3.0
18905,,tube,6.93,3458.0,,10.8,10.8,864.0,2.0
18906,Janssen,annulus,,2319.0,-0.0195,12.7,38.1,914.0,3.1
18907,Thompson,tube,6.79,4069.0,,10.8,10.8,,5.0
18908,Thompson,tube,,2007.0,-0.0238,1.9,,152.0,4.9
18909,Thompson,tube,18.96,,,1.9,1.9,152.0,3.5
18910,Thompson,tube,13.79,7364.0,0.0833,,4.7,318.0,2.8
18911,Thompson,tube,10.34,4056.0,0.0684,10.8,10.8,864.0,2.3
18912,Richenderfer,plate,0.1,,-0.0102,15.0,120.0,10.0,5.2
18913,Janssen,annulus,6.92,1519.0,0.1016,12.7,42.3,1778.0,3.1
18914,Richenderfer,plate,6.89,2000.0,-0.0096,15.0,120.0,10.0,2.4
18915,Weatherhead,tube,,,-0.0118,11.1,11.1,457.0,13.0
18916,Janssen,,6.89,2278.0,,12.7,42.3,1778.0,3.2
18917,Thompson,tube,13.79,932.0,-0.1331,7.7,7.7,,3.2
18918,Thompson,tube,6.86,4096.0,,10.8,10.8,,4.0
18919,Janssen,annulus,4.16,749.0,0.0129,,42.3,1778.0,3.7
18920,Beus,annulus,15.51,2726.0,,5.6,15.2,2134.0,3.1
18921,,annulus,15.51,3998.0,0.1282,,9.5,1836.0,1.5
18922,Thompson,tube,,3608.0,,4.7,4.7,318.0,2.4
18923,Peskov,tube,10.0,4750.0,-0.068,10.0,10.0,660.0,3.1
18924,Thompson,tube,13.79,1519.0,0.0196,7.8,7.8,591.0,2.6
18925,Thompson,tube,4.93,4218.0,0.0426,5.6,,,4.2
18926,Thompson,tube,13.79,,-0.0296,1.9,1.9,152.0,4.1
18927,Thompson,tube,10.34,3838.0,-0.0653,10.3,10.3,762.0,7.8
18928,Thompson,tube,15.51,2034.0,,1.9,1.9,152.0,4.5
18929,Thompson,tube,13.79,734.0,,7.7,7.7,457.0,3.6
18930,Richenderfer,plate,0.51,1000.0,-0.0109,15.0,120.0,10.0,6.7
18931,Richenderfer,plate,1.01,1000.0,-0.0601,15.0,120.0,10.0,5.2
18932,Beus,annulus,11.03,3665.0,0.0749,5.6,15.2,,1.9
18933,Janssen,annulus,6.89,1492.0,0.1717,12.7,42.3,2743.0,3.6
18934,Janssen,annulus,6.91,5533.0,-0.0969,12.7,38.1,914.0,3.3
18935,Thompson,,3.86,3838.0,0.0376,5.6,5.6,,4.2
18936,Thompson,tube,,4069.0,,,10.8,,3.0
18937,,tube,10.34,6212.0,-0.0987,10.3,10.3,762.0,6.7
18938,Thompson,tube,,3513.0,,10.8,10.8,,2.4
18939,Thompson,tube,13.79,1370.0,0.0748,,4.6,295.0,2.5
18940,,tube,6.86,4001.0,,,10.8,432.0,5.3
18941,Thompson,,11.03,4069.0,-0.0443,11.5,11.5,914.0,2.8
18942,Janssen,annulus,,749.0,0.0547,,,1778.0,2.0
18943,Thompson,tube,18.96,2740.0,-0.0434,,1.9,152.0,3.7
18944,Thompson,,13.79,1600.0,-0.0598,4.7,4.7,318.0,3.7
18945,Thompson,tube,18.96,3472.0,,1.9,1.9,152.0,5.0
18946,Janssen,,6.89,2319.0,,12.7,38.1,914.0,4.5
18947,Beus,annulus,11.03,2729.0,0.064,5.6,,2134.0,2.3
18948,Thompson,tube,13.79,4259.0,-0.0166,4.7,,,4.0
18949,Thompson,tube,13.79,6985.0,-0.0193,4.7,4.7,318.0,2.2
18950,Thompson,tube,6.79,310.0,0.0027,10.8,10.8,864.0,8.0
18951,Richenderfer,,1.01,,-0.0434,15.0,120.0,10.0,8.0
18952,Thompson,tube,13.79,7391.0,,4.7,4.7,,6.0
18953,Thompson,tube,13.79,2143.0,0.1008,7.8,,591.0,2.2
18954,Thompson,tube,13.79,2143.0,0.0108,7.8,7.8,591.0,2.0
18955,Weatherhead,tube,,,-0.0742,7.7,7.7,457.0,2.2
18956,Thompson,tube,13.79,734.0,0.0374,4.7,4.7,305.0,2.4
18957,Weatherhead,tube,13.79,2645.0,,,7.7,457.0,2.4
18958,Thompson,,6.86,1031.0,0.0231,10.8,10.8,,4.4
18959,Weatherhead,tube,13.79,2034.0,-0.0098,11.1,11.1,,5.4
18960,Beus,,11.03,,0.0908,5.6,15.2,2134.0,1.6
18961,Thompson,tube,10.51,2387.0,-0.0071,4.6,4.6,229.0,4.8
18962,Beus,,15.51,2731.0,,5.6,15.2,2134.0,2.2
18963,Thompson,tube,13.79,1233.0,,7.8,7.8,,2.8
18964,Thompson,tube,,5574.0,-0.1488,4.7,4.7,318.0,4.5
18965,Thompson,tube,2.63,1228.0,,3.0,3.0,,4.9
18966,Weatherhead,tube,,1383.0,0.137,7.7,7.7,457.0,1.9
18967,Thompson,tube,13.79,3608.0,,1.9,1.9,696.0,1.6
18968,Thompson,tube,6.93,4066.0,0.0459,10.8,,,2.9
18969,Janssen,annulus,8.27,746.0,0.1517,12.7,42.3,1778.0,3.0
18970,Thompson,,13.79,751.0,0.0886,7.8,7.8,591.0,3.8
18971,Richenderfer,plate,0.1,1288.0,-0.0466,,120.0,10.0,5.4
18972,Thompson,tube,10.34,,-0.1209,10.3,10.3,762.0,4.3
18973,Weatherhead,tube,13.79,2658.0,,7.7,7.7,457.0,2.6
18974,Thompson,,,1885.0,-0.0874,1.9,1.9,,3.0
18975,Thompson,,13.79,4787.0,-0.0398,4.7,,318.0,4.4
18976,Weatherhead,,13.79,1383.0,,7.7,,457.0,2.8
18977,,annulus,,2292.0,0.0403,12.7,42.3,1778.0,2.0
18978,Janssen,annulus,8.3,2862.0,,12.7,42.3,1778.0,6.6
18979,Thompson,tube,,1383.0,0.0036,,,457.0,2.9
18980,Thompson,tube,15.51,3458.0,-0.0458,1.9,1.9,152.0,4.8
18981,,tube,11.03,4069.0,0.023,9.5,,1836.0,3.9
18982,Thompson,tube,,,0.0192,4.7,4.7,318.0,5.0
18983,Thompson,tube,13.79,,,7.8,7.8,591.0,4.2
18984,,tube,,4042.0,,,1.9,152.0,4.2
18985,,tube,6.89,4055.0,-0.0134,10.3,10.3,,4.7
18986,Janssen,annulus,9.68,5533.0,0.0136,12.7,38.1,,2.0
18987,Weatherhead,tube,13.79,1356.0,,7.7,7.7,457.0,3.6
18988,Thompson,tube,17.24,2767.0,0.0221,1.9,,152.0,4.5
18989,,tube,10.34,4055.0,,10.3,10.3,762.0,6.8
18990,,tube,6.89,5696.0,,10.3,10.3,762.0,4.5
18991,Thompson,tube,6.96,4123.0,,5.6,5.6,432.0,5.0
18992,Thompson,tube,18.96,2726.0,,1.9,1.9,152.0,3.5
18993,Thompson,tube,6.89,1899.0,-0.1146,23.6,23.6,610.0,3.6
18994,Thompson,tube,13.79,7107.0,-0.0833,4.7,4.7,318.0,3.9
18995,Thompson,tube,11.03,3404.0,0.0788,11.5,11.5,,2.1
18996,Williams,tube,13.79,2773.0,,9.5,9.5,1836.0,1.5
18997,Thompson,tube,7.14,1031.0,0.0175,10.8,10.8,216.0,4.9
18998,Weatherhead,tube,13.79,696.0,-0.0222,11.1,11.1,457.0,3.9
18999,Thompson,tube,6.9,4055.0,0.0003,,10.8,864.0,4.0
19000,Williams,tube,11.03,,0.0595,9.5,,1836.0,2.0
19001,Weatherhead,tube,13.79,2021.0,,7.7,7.7,,4.6
19002,Thompson,tube,,4855.0,-0.1227,10.3,10.3,,4.8
19003,Thompson,tube,6.79,1336.0,0.1136,23.6,23.6,610.0,3.9
19004,Thompson,tube,,4069.0,,,10.8,432.0,3.5
19005,Weatherhead,tube,13.79,673.0,-0.0105,,11.1,457.0,3.8
19006,Beus,annulus,11.03,,-0.082,5.6,15.2,2134.0,2.1
19007,Thompson,tube,,2007.0,-0.0655,,1.9,152.0,2.2
19008,Thompson,tube,10.34,7012.0,,10.3,,762.0,4.4
19009,Beus,annulus,8.27,1355.0,0.1219,5.6,15.2,2134.0,1.0
19010,Thompson,tube,12.07,,-0.12,,1.9,152.0,2.5
19011,Thompson,tube,13.79,1272.0,-0.001,7.8,7.8,591.0,4.5
19012,Williams,tube,15.17,1345.0,,9.5,9.5,1836.0,2.2
19013,,tube,13.79,,,7.8,7.8,591.0,2.3
19014,Thompson,tube,13.79,3703.0,-0.3263,4.7,4.7,318.0,5.1
19015,Thompson,tube,17.24,,-0.1342,1.9,1.9,,3.5
19016,Thompson,tube,10.34,3947.0,-0.0299,,10.3,762.0,7.3
19017,Weatherhead,tube,,,-0.0188,11.1,11.1,457.0,2.3
19018,Weatherhead,tube,13.79,1980.0,-0.0202,7.7,7.7,457.0,2.7
19019,Thompson,tube,13.79,6279.0,0.0587,,4.7,318.0,5.6
19020,Thompson,tube,6.89,5357.0,0.0029,8.0,8.0,610.0,2.2
19021,Thompson,tube,13.79,933.0,,,4.7,318.0,2.4
19022,Thompson,tube,6.89,7893.0,-0.0413,,10.3,762.0,4.4
19023,Thompson,tube,13.79,3404.0,-0.0805,4.7,4.7,318.0,4.0
19024,Thompson,tube,12.07,2509.0,-0.0415,1.9,1.9,152.0,5.1
19025,,tube,15.17,4071.0,0.0627,9.5,,1836.0,1.3
19026,Thompson,tube,3.86,4136.0,0.0001,10.8,10.8,432.0,4.3
19027,Weatherhead,tube,13.79,1343.0,0.0884,7.7,7.7,457.0,1.9
19028,Thompson,,13.79,2007.0,0.0886,7.8,,591.0,2.7
19029,Thompson,tube,6.89,3825.0,,23.6,23.6,610.0,4.7
19030,Thompson,tube,6.89,1980.0,0.0108,23.6,23.6,1972.0,3.6
19031,,plate,0.51,1000.0,-0.0404,15.0,120.0,10.0,5.0
19032,Thompson,tube,3.45,,,,10.3,762.0,6.0
19033,Thompson,tube,13.79,2061.0,0.0722,7.8,7.8,,2.2
19034,Thompson,tube,13.79,3784.0,-0.0431,,4.7,318.0,3.7
19035,Thompson,tube,6.89,6200.0,-0.0591,10.3,10.3,794.0,6.1
19036,Williams,tube,15.51,5750.0,,5.6,5.6,2134.0,1.3
19037,Thompson,tube,,3716.0,0.0229,23.6,23.6,1972.0,2.7
19038,Thompson,,11.07,,0.0776,11.5,11.5,,2.9
19039,Beus,annulus,13.79,3673.0,0.1326,5.6,,2134.0,1.8
19040,Thompson,tube,6.89,4055.0,-0.0383,10.3,10.3,762.0,6.9
19041,Thompson,tube,13.79,,0.0129,7.8,7.8,591.0,2.0
19042,,tube,13.79,,-0.0535,4.7,4.7,318.0,3.0
19043,Thompson,tube,13.79,1063.0,0.0733,4.7,4.7,318.0,2.0
19044,Thompson,tube,6.89,5818.0,-0.0229,10.3,10.3,762.0,5.0
19045,Richenderfer,tube,0.2,1500.0,,15.0,120.0,10.0,4.2
19046,Thompson,tube,13.79,1113.0,0.0505,7.8,7.8,591.0,2.2
19047,Thompson,tube,6.89,678.0,,37.5,37.5,1953.0,3.2
19048,Thompson,,6.89,5913.0,-0.1224,10.3,10.3,762.0,5.1
19049,Peskov,tube,18.0,813.0,-0.1488,10.0,,1650.0,1.5
19050,,tube,6.89,2699.0,0.0195,12.8,,1930.0,3.4
19051,Thompson,tube,6.89,5357.0,,23.6,23.6,,5.9
19052,Thompson,tube,13.79,1085.0,,4.7,4.7,,2.9
19053,Thompson,tube,6.83,4055.0,0.0476,10.8,10.8,864.0,3.0
19054,Thompson,tube,13.79,5479.0,-0.0595,5.7,5.7,625.0,3.8
19055,Thompson,tube,3.86,2034.0,0.1177,10.8,10.8,432.0,4.9
19056,Thompson,tube,,2034.0,,10.8,10.8,432.0,4.0
19057,,,13.79,5818.0,-0.024,,4.7,,3.9
19058,Thompson,,,1017.0,0.12,10.8,10.8,216.0,3.7
19059,Thompson,tube,13.79,,0.1679,7.7,7.7,457.0,1.8
19060,Thompson,tube,13.79,,0.1454,4.7,4.7,318.0,2.1
19061,Thompson,tube,13.79,,-0.1331,7.7,7.7,457.0,2.4
19062,Thompson,tube,6.89,5967.0,-0.1208,10.3,10.3,794.0,8.0
19063,Thompson,tube,18.96,3458.0,,1.9,1.9,152.0,4.5
19064,Thompson,,6.89,2712.0,0.1431,,23.6,1972.0,2.6
19065,Thompson,tube,10.34,7893.0,,10.3,10.3,762.0,4.9
19066,Thompson,,10.34,7514.0,-0.1486,10.3,10.3,762.0,7.6
19067,Weatherhead,tube,13.79,1655.0,,7.7,,457.0,1.7
19068,Thompson,tube,10.96,4069.0,0.1184,11.5,11.5,1524.0,11.3
19069,,tube,17.24,,-0.1488,,1.9,696.0,2.1
19070,Peskov,tube,10.0,4750.0,-0.1392,,10.0,660.0,4.2
19071,Thompson,tube,6.89,1763.0,-0.0875,10.8,10.8,216.0,8.2
19072,Thompson,tube,10.34,4842.0,-0.0589,,10.3,762.0,6.2
19073,Thompson,tube,6.89,4069.0,0.0263,,12.4,,2.0
19074,Thompson,tube,6.89,2699.0,0.0632,12.8,12.8,1930.0,2.1
19075,Thompson,tube,15.51,2102.0,-0.0443,1.9,1.9,,2.0
19076,Janssen,annulus,,1533.0,0.2072,8.5,24.6,1778.0,3.0
19077,Weatherhead,,13.79,2034.0,0.1524,7.7,7.7,457.0,1.4
19078,,,13.79,,,1.9,1.9,152.0,1.8
19079,Thompson,tube,6.89,,-0.0134,23.6,23.6,610.0,4.4
19080,Richenderfer,plate,0.1,1500.0,-0.0329,15.0,120.0,10.0,6.7
19081,Peskov,tube,10.0,4986.0,,10.0,10.0,,5.9
19082,Thompson,tube,6.72,4096.0,0.0379,10.8,10.8,864.0,2.9
19083,Thompson,tube,6.89,7554.0,-0.0655,10.3,,762.0,6.8
19084,Thompson,tube,,4882.0,0.1508,10.3,10.3,762.0,4.3
19085,Janssen,annulus,,2767.0,,12.7,38.1,,2.2
19086,,tube,6.86,,0.0196,10.8,,216.0,5.7
19087,Beus,,11.03,,0.0847,,,2134.0,0.9
19088,,,0.2,1500.0,-0.0058,15.0,120.0,10.0,5.1
19089,Thompson,tube,6.89,1668.0,,,12.4,610.0,5.1
19090,,tube,6.89,2034.0,,10.8,,432.0,4.3
19091,Thompson,tube,6.89,5221.0,,23.5,23.5,,4.4
19092,Thompson,,11.03,4069.0,0.0863,,11.5,1524.0,3.7
19093,Thompson,tube,,2428.0,0.0674,4.6,4.6,295.0,2.7
19094,Thompson,tube,13.79,705.0,0.0455,7.8,7.8,,2.9
19095,Thompson,,13.79,4855.0,0.0554,4.6,4.6,295.0,4.8
19096,Weatherhead,tube,13.79,1344.0,-0.0124,11.1,,,2.1
19097,Thompson,tube,17.24,3770.0,-0.05,1.9,,152.0,4.7
19098,,tube,13.79,,,7.7,7.7,,3.6
19099,Thompson,tube,3.86,3838.0,0.0406,,10.8,432.0,4.9
19100,Thompson,tube,11.03,4069.0,0.0876,11.5,11.5,,3.9
19101,Thompson,tube,6.89,7784.0,-0.0596,10.3,,762.0,6.2
19102,Thompson,tube,13.79,2061.0,0.08,7.8,7.8,591.0,2.9
19103,Thompson,tube,13.79,2645.0,-0.2834,7.7,7.7,457.0,4.7
19104,,tube,20.68,1214.0,-0.1437,3.6,,76.0,4.5
19105,Thompson,tube,6.89,5371.0,,12.8,12.8,1930.0,7.9
19106,Thompson,tube,6.89,4069.0,-0.0134,10.8,10.8,864.0,4.1
19107,Thompson,tube,17.24,2184.0,-0.1258,1.9,,152.0,2.2
19108,Thompson,tube,13.79,1356.0,-0.1756,,7.7,457.0,4.5
19109,Thompson,tube,7.14,1858.0,,10.8,10.8,216.0,4.8
